Fitting 5 folds for each of 27 candidates, totalling 135 fits
[CV 1/5; 1/27] START C=0.1, epsilon=0.1, gamma=0.1..............................
[CV 1/5; 1/27] END C=0.1, epsilon=0.1, gamma=0.1; neg_mean_squared_error: (test=-6.853) r2: (test=0.819) total time= 2.2min
[CV 2/5; 1/27] START C=0.1, epsilon=0.1, gamma=0.1..............................
[CV 2/5; 1/27] END C=0.1, epsilon=0.1, gamma=0.1; neg_mean_squared_error: (test=-6.665) r2: (test=0.806) total time= 2.2min
[CV 3/5; 1/27] START C=0.1, epsilon=0.1, gamma=0.1..............................
[CV 3/5; 1/27] END C=0.1, epsilon=0.1, gamma=0.1; neg_mean_squared_error: (test=-6.949) r2: (test=0.808) total time= 2.1min
[CV 4/5; 1/27] START C=0.1, epsilon=0.1, gamma=0.1..............................
[CV 4/5; 1/27] END C=0.1, epsilon=0.1, gamma=0.1; neg_mean_squared_error: (test=-6.712) r2: (test=0.815) total time= 2.2min
[CV 5/5; 1/27] START C=0.1, epsilon=0.1, gamma=0.1..............................
[CV 5/5; 1/27] END C=0.1, epsilon=0.1, gamma=0.1; neg_mean_squared_error: (test=-6.782) r2: (test=0.815) total time= 2.2min

[CV 1/5; 2/27] START C=0.1, epsilon=0.1, gamma=0.01.............................
[CV 1/5; 2/27] END C=0.1, epsilon=0.1, gamma=0.01; neg_mean_squared_error: (test=-7.902) r2: (test=0.791) total time= 2.2min
[CV 2/5; 2/27] START C=0.1, epsilon=0.1, gamma=0.01.............................
[CV 2/5; 2/27] END C=0.1, epsilon=0.1, gamma=0.01; neg_mean_squared_error: (test=-7.633) r2: (test=0.778) total time= 2.2min
[CV 3/5; 2/27] START C=0.1, epsilon=0.1, gamma=0.01.............................
[CV 3/5; 2/27] END C=0.1, epsilon=0.1, gamma=0.01; neg_mean_squared_error: (test=-7.907) r2: (test=0.782) total time= 2.2min
[CV 4/5; 2/27] START C=0.1, epsilon=0.1, gamma=0.01.............................
[CV 4/5; 2/27] END C=0.1, epsilon=0.1, gamma=0.01; neg_mean_squared_error: (test=-7.587) r2: (test=0.791) total time= 2.2min
[CV 5/5; 2/27] START C=0.1, epsilon=0.1, gamma=0.01.............................
[CV 5/5; 2/27] END C=0.1, epsilon=0.1, gamma=0.01; neg_mean_squared_error: (test=-7.745) r2: (test=0.788) total time= 2.2min

[CV 1/5; 3/27] START C=0.1, epsilon=0.1, gamma=scale............................
[CV 1/5; 3/27] END C=0.1, epsilon=0.1, gamma=scale; neg_mean_squared_error: (test=-6.759) r2: (test=0.821) total time= 2.1min
[CV 2/5; 3/27] START C=0.1, epsilon=0.1, gamma=scale............................
[CV 2/5; 3/27] END C=0.1, epsilon=0.1, gamma=scale; neg_mean_squared_error: (test=-6.584) r2: (test=0.809) total time= 2.1min
[CV 3/5; 3/27] START C=0.1, epsilon=0.1, gamma=scale............................
[CV 3/5; 3/27] END C=0.1, epsilon=0.1, gamma=scale; neg_mean_squared_error: (test=-6.867) r2: (test=0.811) total time= 2.1min
[CV 4/5; 3/27] START C=0.1, epsilon=0.1, gamma=scale............................
[CV 4/5; 3/27] END C=0.1, epsilon=0.1, gamma=scale; neg_mean_squared_error: (test=-6.619) r2: (test=0.818) total time= 2.2min
[CV 5/5; 3/27] START C=0.1, epsilon=0.1, gamma=scale............................
[CV 5/5; 3/27] END C=0.1, epsilon=0.1, gamma=scale; neg_mean_squared_error: (test=-6.676) r2: (test=0.817) total time= 2.1min

[CV 1/5; 4/27] START C=0.1, epsilon=0.01, gamma=0.1.............................
[CV 1/5; 4/27] END C=0.1, epsilon=0.01, gamma=0.1; neg_mean_squared_error: (test=-6.856) r2: (test=0.819) total time= 2.2min
[CV 2/5; 4/27] START C=0.1, epsilon=0.01, gamma=0.1.............................
[CV 2/5; 4/27] END C=0.1, epsilon=0.01, gamma=0.1; neg_mean_squared_error: (test=-6.657) r2: (test=0.807) total time= 2.2min
[CV 3/5; 4/27] START C=0.1, epsilon=0.01, gamma=0.1.............................
[CV 3/5; 4/27] END C=0.1, epsilon=0.01, gamma=0.1; neg_mean_squared_error: (test=-6.951) r2: (test=0.808) total time= 2.2min
[CV 4/5; 4/27] START C=0.1, epsilon=0.01, gamma=0.1.............................
[CV 4/5; 4/27] END C=0.1, epsilon=0.01, gamma=0.1; neg_mean_squared_error: (test=-6.711) r2: (test=0.815) total time= 2.3min
[CV 5/5; 4/27] START C=0.1, epsilon=0.01, gamma=0.1.............................
[CV 5/5; 4/27] END C=0.1, epsilon=0.01, gamma=0.1; neg_mean_squared_error: (test=-6.780) r2: (test=0.815) total time= 2.3min

[CV 1/5; 5/27] START C=0.1, epsilon=0.01, gamma=0.01............................
[CV 1/5; 5/27] END C=0.1, epsilon=0.01, gamma=0.01; neg_mean_squared_error: (test=-7.909) r2: (test=0.791) total time= 2.2min
[CV 2/5; 5/27] START C=0.1, epsilon=0.01, gamma=0.01............................
[CV 2/5; 5/27] END C=0.1, epsilon=0.01, gamma=0.01; neg_mean_squared_error: (test=-7.632) r2: (test=0.778) total time= 2.2min
[CV 3/5; 5/27] START C=0.1, epsilon=0.01, gamma=0.01............................
[CV 3/5; 5/27] END C=0.1, epsilon=0.01, gamma=0.01; neg_mean_squared_error: (test=-7.910) r2: (test=0.782) total time= 2.3min
[CV 4/5; 5/27] START C=0.1, epsilon=0.01, gamma=0.01............................
[CV 4/5; 5/27] END C=0.1, epsilon=0.01, gamma=0.01; neg_mean_squared_error: (test=-7.587) r2: (test=0.791) total time= 2.3min
[CV 5/5; 5/27] START C=0.1, epsilon=0.01, gamma=0.01............................
[CV 5/5; 5/27] END C=0.1, epsilon=0.01, gamma=0.01; neg_mean_squared_error: (test=-7.746) r2: (test=0.788) total time= 2.3min

[CV 1/5; 6/27] START C=0.1, epsilon=0.01, gamma=scale...........................
[CV 1/5; 6/27] END C=0.1, epsilon=0.01, gamma=scale; neg_mean_squared_error: (test=-6.765) r2: (test=0.821) total time= 2.3min
[CV 2/5; 6/27] START C=0.1, epsilon=0.01, gamma=scale...........................
[CV 2/5; 6/27] END C=0.1, epsilon=0.01, gamma=scale; neg_mean_squared_error: (test=-6.584) r2: (test=0.809) total time= 2.3min
[CV 3/5; 6/27] START C=0.1, epsilon=0.01, gamma=scale...........................
[CV 3/5; 6/27] END C=0.1, epsilon=0.01, gamma=scale; neg_mean_squared_error: (test=-6.869) r2: (test=0.811) total time= 2.3min
[CV 4/5; 6/27] START C=0.1, epsilon=0.01, gamma=scale...........................
[CV 4/5; 6/27] END C=0.1, epsilon=0.01, gamma=scale; neg_mean_squared_error: (test=-6.618) r2: (test=0.818) total time= 2.3min
[CV 5/5; 6/27] START C=0.1, epsilon=0.01, gamma=scale...........................
[CV 5/5; 6/27] END C=0.1, epsilon=0.01, gamma=scale; neg_mean_squared_error: (test=-6.680) r2: (test=0.817) total time= 2.3min

[CV 1/5; 7/27] START C=0.1, epsilon=0.001, gamma=0.1............................
[CV 1/5; 7/27] END C=0.1, epsilon=0.001, gamma=0.1; neg_mean_squared_error: (test=-6.858) r2: (test=0.819) total time= 2.3min
[CV 2/5; 7/27] START C=0.1, epsilon=0.001, gamma=0.1............................
[CV 2/5; 7/27] END C=0.1, epsilon=0.001, gamma=0.1; neg_mean_squared_error: (test=-6.656) r2: (test=0.807) total time= 2.3min
[CV 3/5; 7/27] START C=0.1, epsilon=0.001, gamma=0.1............................
[CV 3/5; 7/27] END C=0.1, epsilon=0.001, gamma=0.1; neg_mean_squared_error: (test=-6.952) r2: (test=0.808) total time= 2.3min
[CV 4/5; 7/27] START C=0.1, epsilon=0.001, gamma=0.1............................
[CV 4/5; 7/27] END C=0.1, epsilon=0.001, gamma=0.1; neg_mean_squared_error: (test=-6.711) r2: (test=0.815) total time= 2.3min
[CV 5/5; 7/27] START C=0.1, epsilon=0.001, gamma=0.1............................
[CV 5/5; 7/27] END C=0.1, epsilon=0.001, gamma=0.1; neg_mean_squared_error: (test=-6.780) r2: (test=0.815) total time= 2.4min

[CV 1/5; 8/27] START C=0.1, epsilon=0.001, gamma=0.01...........................
[CV 1/5; 8/27] END C=0.1, epsilon=0.001, gamma=0.01; neg_mean_squared_error: (test=-7.909) r2: (test=0.791) total time= 2.3min
[CV 2/5; 8/27] START C=0.1, epsilon=0.001, gamma=0.01...........................
[CV 2/5; 8/27] END C=0.1, epsilon=0.001, gamma=0.01; neg_mean_squared_error: (test=-7.628) r2: (test=0.778) total time= 2.3min
[CV 3/5; 8/27] START C=0.1, epsilon=0.001, gamma=0.01...........................
[CV 3/5; 8/27] END C=0.1, epsilon=0.001, gamma=0.01; neg_mean_squared_error: (test=-7.908) r2: (test=0.782) total time= 2.3min
[CV 4/5; 8/27] START C=0.1, epsilon=0.001, gamma=0.01...........................
[CV 4/5; 8/27] END C=0.1, epsilon=0.001, gamma=0.01; neg_mean_squared_error: (test=-7.586) r2: (test=0.791) total time= 2.3min
[CV 5/5; 8/27] START C=0.1, epsilon=0.001, gamma=0.01...........................
[CV 5/5; 8/27] END C=0.1, epsilon=0.001, gamma=0.01; neg_mean_squared_error: (test=-7.747) r2: (test=0.788) total time= 2.3min

[CV 1/5; 9/27] START C=0.1, epsilon=0.001, gamma=scale..........................
[CV 1/5; 9/27] END C=0.1, epsilon=0.001, gamma=scale; neg_mean_squared_error: (test=-6.767) r2: (test=0.821) total time= 2.3min
[CV 2/5; 9/27] START C=0.1, epsilon=0.001, gamma=scale..........................
[CV 2/5; 9/27] END C=0.1, epsilon=0.001, gamma=scale; neg_mean_squared_error: (test=-6.585) r2: (test=0.809) total time= 2.3min
[CV 3/5; 9/27] START C=0.1, epsilon=0.001, gamma=scale..........................
[CV 3/5; 9/27] END C=0.1, epsilon=0.001, gamma=scale; neg_mean_squared_error: (test=-6.870) r2: (test=0.811) total time= 2.2min
[CV 4/5; 9/27] START C=0.1, epsilon=0.001, gamma=scale..........................
[CV 4/5; 9/27] END C=0.1, epsilon=0.001, gamma=scale; neg_mean_squared_error: (test=-6.619) r2: (test=0.818) total time= 2.2min
[CV 5/5; 9/27] START C=0.1, epsilon=0.001, gamma=scale..........................
[CV 5/5; 9/27] END C=0.1, epsilon=0.001, gamma=scale; neg_mean_squared_error: (test=-6.680) r2: (test=0.817) total time= 2.2min

[CV 1/5; 10/27] START C=1, epsilon=0.1, gamma=0.1...............................
[CV 1/5; 10/27] END C=1, epsilon=0.1, gamma=0.1; neg_mean_squared_error: (test=-5.083) r2: (test=0.866) total time= 2.3min
[CV 2/5; 10/27] START C=1, epsilon=0.1, gamma=0.1...............................
[CV 2/5; 10/27] END C=1, epsilon=0.1, gamma=0.1; neg_mean_squared_error: (test=-5.110) r2: (test=0.852) total time= 2.3min
[CV 3/5; 10/27] START C=1, epsilon=0.1, gamma=0.1...............................
[CV 3/5; 10/27] END C=1, epsilon=0.1, gamma=0.1; neg_mean_squared_error: (test=-5.191) r2: (test=0.857) total time= 2.2min
[CV 4/5; 10/27] START C=1, epsilon=0.1, gamma=0.1...............................
[CV 4/5; 10/27] END C=1, epsilon=0.1, gamma=0.1; neg_mean_squared_error: (test=-5.058) r2: (test=0.861) total time= 2.3min
[CV 5/5; 10/27] START C=1, epsilon=0.1, gamma=0.1...............................
[CV 5/5; 10/27] END C=1, epsilon=0.1, gamma=0.1; neg_mean_squared_error: (test=-5.171) r2: (test=0.859) total time= 2.3min

[CV 1/5; 11/27] START C=1, epsilon=0.1, gamma=0.01..............................
[CV 1/5; 11/27] END C=1, epsilon=0.1, gamma=0.01; neg_mean_squared_error: (test=-6.263) r2: (test=0.834) total time= 2.2min
[CV 2/5; 11/27] START C=1, epsilon=0.1, gamma=0.01..............................
[CV 2/5; 11/27] END C=1, epsilon=0.1, gamma=0.01; neg_mean_squared_error: (test=-6.210) r2: (test=0.820) total time= 2.3min
[CV 3/5; 11/27] START C=1, epsilon=0.1, gamma=0.01..............................
[CV 3/5; 11/27] END C=1, epsilon=0.1, gamma=0.01; neg_mean_squared_error: (test=-6.394) r2: (test=0.824) total time= 2.2min
[CV 4/5; 11/27] START C=1, epsilon=0.1, gamma=0.01..............................
[CV 4/5; 11/27] END C=1, epsilon=0.1, gamma=0.01; neg_mean_squared_error: (test=-6.097) r2: (test=0.832) total time= 2.2min
[CV 5/5; 11/27] START C=1, epsilon=0.1, gamma=0.01..............................
[CV 5/5; 11/27] END C=1, epsilon=0.1, gamma=0.01; neg_mean_squared_error: (test=-6.210) r2: (test=0.830) total time= 2.2min

[CV 1/5; 12/27] START C=1, epsilon=0.1, gamma=scale.............................
[CV 1/5; 12/27] END C=1, epsilon=0.1, gamma=scale; neg_mean_squared_error: (test=-5.104) r2: (test=0.865) total time= 2.3min
[CV 2/5; 12/27] START C=1, epsilon=0.1, gamma=scale.............................
[CV 2/5; 12/27] END C=1, epsilon=0.1, gamma=scale; neg_mean_squared_error: (test=-5.138) r2: (test=0.851) total time= 2.2min
[CV 3/5; 12/27] START C=1, epsilon=0.1, gamma=scale.............................
[CV 3/5; 12/27] END C=1, epsilon=0.1, gamma=scale; neg_mean_squared_error: (test=-5.220) r2: (test=0.856) total time= 2.3min
[CV 4/5; 12/27] START C=1, epsilon=0.1, gamma=scale.............................
[CV 4/5; 12/27] END C=1, epsilon=0.1, gamma=scale; neg_mean_squared_error: (test=-5.064) r2: (test=0.861) total time= 2.2min
[CV 5/5; 12/27] START C=1, epsilon=0.1, gamma=scale.............................
[CV 5/5; 12/27] END C=1, epsilon=0.1, gamma=scale; neg_mean_squared_error: (test=-5.176) r2: (test=0.859) total time= 2.2min

[CV 1/5; 13/27] START C=1, epsilon=0.01, gamma=0.1..............................
[CV 1/5; 13/27] END C=1, epsilon=0.01, gamma=0.1; neg_mean_squared_error: (test=-5.080) r2: (test=0.866) total time= 2.3min
[CV 2/5; 13/27] START C=1, epsilon=0.01, gamma=0.1..............................
[CV 2/5; 13/27] END C=1, epsilon=0.01, gamma=0.1; neg_mean_squared_error: (test=-5.112) r2: (test=0.851) total time= 2.4min
[CV 3/5; 13/27] START C=1, epsilon=0.01, gamma=0.1..............................
[CV 3/5; 13/27] END C=1, epsilon=0.01, gamma=0.1; neg_mean_squared_error: (test=-5.199) r2: (test=0.857) total time= 2.4min
[CV 4/5; 13/27] START C=1, epsilon=0.01, gamma=0.1..............................
[CV 4/5; 13/27] END C=1, epsilon=0.01, gamma=0.1; neg_mean_squared_error: (test=-5.056) r2: (test=0.861) total time= 2.4min
